Title:,Time Series, Area-Averaged of Carbon Dioxide, Mole Fraction in Free Troposphere monthly 2 x 2.5 ()
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2005-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"47.5,42,85,54"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2005-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere&variableFacets=dataFieldMeasurement%3ACO2%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere): -9999

time, mean_AIRX3C2M_005_mole_fraction_of_carbon_dioxide_in_free_troposphere
2005-01-01 00:00:00,377.339409
2005-02-01 00:00:00,378.626092
2005-03-01 00:00:00,380.089881
2005-04-01 00:00:00,381.259359
2005-05-01 00:00:00,381.16212
2005-06-01 00:00:00,380.762537
2005-07-01 00:00:00,380.778932
2005-08-01 00:00:00,380.297747
2005-09-01 00:00:00,380.486556
2005-10-01 00:00:00,380.232402
2005-11-01 00:00:00,379.388814
2005-12-01 00:00:00,379.570909
