Title:,Time Series, Area-Averaged of Carbon Monoxide, Mole Fraction in Air (Daytime/Ascending) monthly 1 ()
User Start Date:,2009-01-01T00:00:00Z
User End Date:,2009-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2009-01-01T00:00:00Z&endtime=2009-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_CO_VMR_A(z%3D1.5)&variableFacets=dataFieldMeasurement%3ACO%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_CO_VMR_A): -9999

time, mean_AIRX3STM_006_CO_VMR_A
2009-01-01 00:00:00,35.5898064
2009-02-01 00:00:00,35.1672353
2009-03-01 00:00:00,34.6522456
2009-04-01 00:00:00,34.9318216
2009-05-01 00:00:00,35.0404536
2009-06-01 00:00:00,35.0324422
2009-07-01 00:00:00,34.9924254
2009-08-01 00:00:00,34.8128652
2009-09-01 00:00:00,34.2660603
2009-10-01 00:00:00,33.9281271
2009-11-01 00:00:00,34.267507
2009-12-01 00:00:00,35.0835571
