Title:,Time Series, Area-Averaged of Ozone, Mole Fraction in Air (Daytime/Ascending) monthly 1 deg. @1.5hPa ()
User Start Date:,2006-01-01T00:00:00Z
User End Date:,2006-12-31T23:59:59Z
User Bounding Box:,"45.9668,40.0195,87.4512,55.8398"
Data Bounding Box:,"46.5,40.5,86.5,55.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2006-01-01T00:00:00Z&endtime=2006-12-31T23:59:59Z&bbox=45.9668,40.0195,87.4512,55.8398&data=AIRX3STM_006_O3_VMR_A(z%3D1.5)&variableFacets=dataFieldMeasurement%3AOzone%3B&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STM_006_O3_VMR_A): -9999

time, mean_AIRX3STM_006_O3_VMR_A
2006-01-01 00:00:00,4213.75732
2006-02-01 00:00:00,4307.59619
2006-03-01 00:00:00,4239.88281
2006-04-01 00:00:00,3841.91357
2006-05-01 00:00:00,3510.69556
2006-06-01 00:00:00,3715.51074
2006-07-01 00:00:00,3651.34106
2006-08-01 00:00:00,4004.69751
2006-09-01 00:00:00,4083.7124
2006-10-01 00:00:00,4319.8418
2006-11-01 00:00:00,4542.3042
2006-12-01 00:00:00,4062.17603
